# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000 1040.987373728  839.217161652 2108.725033738
    0.051081803  165.548027159  104.003705244  211.996715175
    0.101163606  115.367533683   89.045541965  147.318954648
    0.151245409   95.493989008   86.027752119  125.248377993
    0.201327212   91.595641858   91.796557485  123.127404093
    0.251409015   84.829291955   91.115045048  122.480803093
    0.301490818   82.062728240   92.560049261  119.715580653
    0.351572621   77.537091848   88.835706122  102.737242995
    0.401654424   65.448004161   77.067062412   79.605320612
    0.451736227   53.005045072   65.185905779   65.947370623
    0.501818030   44.361806102   57.195739287   62.887320192
    0.551899833   38.282705681   51.673879949   71.067783903
    0.601981636   34.824056205   46.913921656   77.170287418
    0.652063439   32.788310834   43.641843904   71.311791382
    0.702145242   31.852770092   42.103160074   64.934153398
    0.752227045   30.714835201   40.195832281   61.221344052
    0.802308848   30.856037717   40.581215811   62.227685140
    0.852390651   31.497355987   40.130143672   59.629902651
    0.902472454   33.182400251   41.589319926   49.847788586
    0.952554257   36.273795995   44.451263987   40.411848400
    1.002636060   38.265455229   45.637180095   33.157697727
    1.052717863   38.586977812   45.351411249   28.360779905
    1.102799666   40.327594539   45.619729692   25.976305345
    1.152881469   42.434764945   46.266246831   24.721090605
    1.202963272   40.459878268   43.143707421   23.282519127
    1.253045075   37.482673641   39.067833461   21.017229081
    1.303126878   34.212849054   35.320164950   18.639704548
    1.353208681   31.019050038   31.529402245   16.666910931
    1.403290484   29.702611571   29.636214196   14.977634239
    1.453372287   30.627750365   29.633351875   13.953771188
    1.503454090   33.140425652   31.078662143   13.625462694
    1.553535893   32.227765016   31.027554783   13.847119441
    1.603617696   27.513008105   27.775659895   14.159533647
    1.653699499   23.702982178   24.993095906   14.368992627
    1.703781302   20.483101784   22.462692957   14.365638523
    1.753863105   18.623696452   21.484827874   14.885697552
    1.803944908   18.152985156   21.813644641   15.032570631
    1.854026711   17.977964620   22.480349694   14.443026659
    1.904108514   17.791707223   22.130396149   14.489218763
    1.954190317   17.769179953   21.632039363   15.562564202
    2.004272120   17.596684600   20.675264390   16.371788710
    2.054353923   17.011706171   19.809150016   16.784565708
    2.104435726   15.697500063   19.345531917   17.206749180
    2.154517529   13.859062508   17.374512779   16.068598680
    2.204599332   12.546887839   14.478438904   14.867323625
    2.254681135   11.894048668   12.948427944   14.671782493
    2.304762938   11.071217755   12.262461004   15.258179360
    2.354844741   10.573055736   12.195663472   16.512362533
    2.404926544   10.347377336   12.503824952   15.939543234
    2.455008347   10.414900358   12.942336961   13.821983098
    2.505090150   10.651302584   13.253649727   12.363797652
    2.555171953   11.305478812   13.846860618   11.957240036
    2.605253756   12.202917905   14.602712214   11.991241907
    2.655335559   12.773072436   14.767385451   11.674740122
    2.705417362   12.420674216   14.315066455   11.354212245
    2.755499165   11.572373409   13.667267460   12.165959011
    2.805580968   10.492410855   12.822034073   13.397997917
    2.855662771    9.193247920   11.555632176   14.382042960
    2.905744574    8.380073252   10.666328864   15.551800222
    2.955826377    8.300149588   10.620122910   15.844779015
    3.005908180    8.580174496   10.974788483   15.052395834
    3.055989983    8.747082947   10.912881934   14.175634613
    3.106071786    8.387091881   10.183231612   13.144148939
    3.156153589    7.321755193    8.746071149   11.327459944
    3.206235392    6.601736751    7.815133875   10.197475393
    3.256317195    5.943398058    7.045197903   10.381915268
    3.306398998    4.984792483    5.869524453    9.983381821
    3.356480801    4.292648105    4.774602721    8.716496739
    3.406562604    3.758579245    3.850498385    7.590627509
    3.456644407    3.155808988    3.101482309    6.949592295
    3.506726210    2.653067789    2.639975001    6.974278525
    3.556808013    2.297275163    2.347876867    7.027960959
    3.606889816    2.029587429    2.054503153    6.571293044
    3.656971619    1.799528045    1.763300204    5.639687428
    3.707053422    1.568065447    1.516618925    4.596399722
    3.757135225    1.378964700    1.312027736    3.758718828
    3.807217028    1.265161010    1.178991201    3.191553304
    3.857298831    1.198330575    1.115820288    2.711113082
    3.907380634    1.145441574    1.110583800    2.351792413
    3.957462437    1.005784813    1.103969331    2.140717312
    4.007544240    0.848719592    1.042739488    1.936204965
    4.057626043    0.728927551    0.936152941    1.695357560
    4.107707846    0.661786136    0.817441935    1.478471770
    4.157789649    0.637212274    0.749309375    1.250538883
    4.207871452    0.625869572    0.714984569    1.109417839
    4.257953255    0.626621915    0.704598562    1.085574640
    4.308035058    0.656091062    0.736226072    1.090336936
    4.358116861    0.738148508    0.845958095    1.014907567
    4.408198664    0.922773836    1.072525567    0.917696151
    4.458280467    1.166508326    1.351574821    0.842604492
    4.508362270    1.214646655    1.393528951    0.729822205
    4.558444073    1.170908195    1.333702623    0.657611602
    4.608525876    1.141004322    1.291814041    0.629497373
    4.658607679    1.179268750    1.307951784    0.636783105
    4.708689482    1.254519646    1.363866060    0.652237273
    4.758771285    1.264037484    1.411299435    0.667939341
    4.808853088    1.251003298    1.466615921    0.687013175
    4.858934891    1.286452126    1.563206400    0.730717315
    4.909016694    1.391154793    1.740680334    0.820308549
    4.959098497    1.460117773    1.801200395    0.956201519
    5.009180301    1.494340587    1.832142557    1.182167191
    5.059262104    1.556115999    1.917064948    1.470839613
    5.109343907    1.563429774    1.986815089    1.607956020
    5.159425710    1.581132444    2.126991494    1.420629867
    5.209507513    1.671988614    2.386886924    1.129331997
    5.259589316    1.800938926    2.737731164    0.937240377
    5.309671119    1.929464969    3.034751745    0.816989099
    5.359752922    1.866126624    2.892431909    0.722825408
    5.409834725    1.776865689    2.675097172    0.682249314
    5.459916528    1.749597875    2.564210583    0.669969331
    5.509998331    1.784206111    2.499633556    0.667058198
