# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.001000000  245.010141219  207.941717393  317.343953961
    0.051081803  181.996781085  165.864069389  236.407516617
    0.101163606  131.509584905  129.264736153  171.140840587
    0.151245409  104.120466082  107.156167671  135.286819085
    0.201327212   86.767516044   91.943230706  112.272599475
    0.251409015   74.597537921   80.616880911   95.954209153
    0.301490818   65.509780159   71.777564733   83.664526199
    0.351572621   58.429994312   64.656983134   74.030425503
    0.401654424   52.741252646   58.784900210   66.257099535
    0.451736227   48.059554222   53.852207574   59.845987006
    0.501818030   44.131708755   49.645500781   54.465815565
    0.551899833   40.783461996   46.012091730   49.886681744
    0.601981636   37.890826247   42.839679336   45.943439437
    0.652063439   35.363173687   40.043794444   42.514058913
    0.702145242   33.132750951   37.559685236   39.506203897
    0.752227045   31.147912391   35.336886880   36.848577961
    0.802308848   29.368611247   33.335486081   34.485163163
    0.852390651   27.763315191   31.523492999   32.371276726
    0.902472454   26.306848995   29.874956722   30.470805693
    0.952554257   24.978856582   28.368591355   28.754225262
    1.002636060   23.762686112   26.986759531   27.197150830
    1.052717863   22.644569524   25.714710254   25.779261328
    1.102799666   21.613010519   24.540000381   24.483485856
    1.152881469   20.658322263   23.452050477   23.295380406
    1.202963272   19.772274129   22.441800177   22.202644036
    1.253045075   18.947818793   21.501438069   21.194738894
    1.303126878   18.178879256   20.624187974   20.262588648
    1.353208681   17.460181007   19.804138332   19.398336843
    1.403290484   16.787118549   19.036104843   18.595151605
    1.453372287   16.155648326   18.315518992   17.847066550
    1.503454090   15.562202107   17.638336901   17.148850262
    1.553535893   15.003616375   17.000964249   16.495898507
    1.603617696   14.477074330   16.400194027   15.884144679
    1.653699499   13.980057904   15.833154593   15.309984990
    1.703781302   13.510307805   15.297266060   14.770215648
    1.753863105   13.065790030   14.790203477   14.261979858
    1.803944908   12.644667617   14.309865572   13.782722904
    1.854026711   12.245276700   13.854348087   13.330153929
    1.904108514   11.866106088   13.421920919   12.902213281
    1.954190317   11.505779763   13.011008436   12.497044512
    2.004272120   11.163041815   12.620172458   12.112970290
    2.054353923   10.836743399   12.248097477   11.748471602
    2.104435726   10.525831417   11.893577777   11.402169742
    2.154517529   10.229338640   11.555506178   11.072810667
    2.204599332    9.946375058   11.232864142   10.759251374
    2.254681135    9.676120283   10.924713080   10.460447994
    2.304762938    9.417816853   10.630186663   10.175445370
    2.354844741    9.170764303   10.348484021    9.903367902
    2.404926544    8.934313916   10.078863700    9.643411496
    2.455008347    8.707864043    9.820638283    9.394836452
    2.505090150    8.490855936    9.573169594    9.156961180
    2.555171953    8.282770018    9.335864396    8.929156637
    2.605253756    8.083122544    9.108170552    8.710841371
    2.655335559    7.891462594    8.889573555    8.501477126
    2.705417362    7.707369375    8.679593424    8.300564916
    2.755499165    7.530449776    8.477781890    8.107641513
    2.805580968    7.360336169    8.283719857    7.922276312
    2.855662771    7.196684409    8.097015107    7.744068513
    2.905744574    7.039172023    7.917300211    7.572644589
    2.955826377    6.887496563    7.744230641    7.407656011
    3.005908180    6.741374110    7.577483043    7.248777196
    3.055989983    6.600537904    7.416753667    7.095703647
    3.106071786    6.464737098    7.261756938    6.948150282
    3.156153589    6.333735620    7.112224140    6.805849909
    3.206235392    6.207311121    6.967902226    6.668551852
    3.256317195    6.085254024    6.828552709    6.536020692
    3.306398998    5.967366643    6.693950665    6.408035132
    3.356480801    5.853462371    6.563883798    6.284386953
    3.406562604    5.743364941    6.438151597    6.164880068
    3.456644407    5.636907738    6.316564544    6.049329654
    3.506726210    5.533933168    6.198943394    5.937561357
    3.556808013    5.434292072    6.085118510    5.829410567
    3.606889816    5.337843188    5.974929243    5.724721751
    3.656971619    5.244452653    5.868223362    5.623347836
    3.707053422    5.153993539    5.764856529    5.525149650
    3.757135225    5.066345422    5.664691808    5.429995402
    3.807217028    4.981393991    5.567599209    5.337760200
    3.857298831    4.899030671    5.473455271    5.248325614
    3.907380634    4.819152283    5.382142669    5.161579264
    3.957462437    4.741660728    5.293549848    5.077414447
    4.007544240    4.666462681    5.207570687    4.995729782
    4.057626043    4.593469322    5.124104181    4.916428891
    4.107707846    4.522596075    5.043054149    4.839420094
