mu_eV,T_K,PF_W_per_mK2
-5.5124,300,7.76639e-05
-5.5124,400,0.000101722
-5.5124,500,9.99178e-05
-5.5124,600,8.5849e-05
-5.49948,300,5.37733e-05
-5.49948,400,6.31671e-05
-5.49948,500,5.9161e-05
-5.49948,600,4.85888e-05
-5.48656,300,3.26008e-05
-5.48656,400,3.05104e-05
-5.48656,500,2.59591e-05
-5.48656,600,1.93939e-05
-5.47364,300,1.20477e-05
-5.47364,400,7.4709e-06
-5.47364,500,4.93503e-06
-5.47364,600,2.54959e-06
-5.46071,300,1.16781e-07
-5.46071,400,1.84181e-07
-5.46071,500,7.95014e-07
-5.46071,600,1.995e-06
-5.44779,300,1.1794e-05
-5.44779,400,1.48388e-05
-5.44779,500,1.7457e-05
-5.44779,600,2.09597e-05
-5.43488,300,5.2139e-05
-5.43488,400,5.38887e-05
-5.43488,500,5.70465e-05
-5.43488,600,6.16429e-05
-5.42195,300,0.00010978
-5.42195,400,0.000114664
-5.42195,500,0.000119547
-5.42195,600,0.000125112
-5.40903,300,0.000170799
-5.40903,400,0.0001919
-5.40903,500,0.000203423
-5.40903,600,0.0002115
-5.3961,300,0.000230886
-5.3961,400,0.00028153
-5.3961,500,0.000306772
-5.3961,600,0.000320396
-5.38319,300,0.000295136
-5.38319,400,0.000382512
-5.38319,500,0.000428237
-5.38319,600,0.000451231
-5.37026,300,0.000371317
-5.37026,400,0.0004959
-5.37026,500,0.000567202
-5.37026,600,0.0006035
-5.35734,300,0.000462826
-5.35734,400,0.000622531
-5.35734,500,0.000723353
-5.35734,600,0.000776733
-5.34443,300,0.000564123
-5.34443,400,0.000761113
-5.34443,500,0.000896072
-5.34443,600,0.000970334
-5.3315,300,0.000661341
-5.3315,400,0.000908156
-5.3315,500,0.00108405
-5.3315,600,0.00118335
-5.31858,300,0.000742065
-5.31858,400,0.00105979
-5.31858,500,0.00128528
-5.31858,600,0.00141434
-5.30566,300,0.000807798
-5.30566,400,0.00121389
-5.30566,500,0.00149729
-5.30566,600,0.00166126
-5.29274,300,0.000875013
-5.29274,400,0.00137064
-5.29274,500,0.0017173
-5.29274,600,0.00192158
-5.27981,300,0.00096332
-5.27981,400,0.0015308
-5.27981,500,0.00194231
-5.27981,600,0.0021924
-5.26689,300,0.0010813
-5.26689,400,0.00169299
-5.26689,500,0.00216919
-5.26689,600,0.00247076
-5.25398,300,0.00121643
-5.25398,400,0.00185227
-5.25398,500,0.00239516
-5.25398,600,0.00275396
-5.24105,300,0.00133338
-5.24105,400,0.00200205
-5.24105,500,0.00261858
-5.24105,600,0.00303968
-5.22813,300,0.00139452
-5.22813,400,0.00213942
-5.22813,500,0.00283955
-5.22813,600,0.00332582
-5.21521,300,0.00139918
-5.21521,400,0.00226968
-5.21521,500,0.00305937
-5.21521,600,0.00360972
-5.20229,300,0.00139472
-5.20229,400,0.00240496
-5.20229,500,0.00327859
-5.20229,600,0.00388689
-5.18936,300,0.0014428
-5.18936,400,0.00255632
-5.18936,500,0.00349379
-5.18936,600,0.00414944
-5.17644,300,0.00158192
-5.17644,400,0.00272445
-5.17644,500,0.00369454
-5.17644,600,0.00438469
-5.16353,300,0.00180332
-5.16353,400,0.00289277
-5.16353,500,0.00386156
-5.16353,600,0.00457452
-5.1506,300,0.0020403
-5.1506,400,0.00302585
-5.1506,500,0.00396658
-5.1506,600,0.00469536
-5.13767,300,0.00219073
-5.13767,400,0.00307469
-5.13767,500,0.00397447
-5.13767,600,0.00471995
-5.12476,300,0.00217245
-5.12476,400,0.00298718
-5.12476,500,0.00384711
-5.12476,600,0.00462021
-5.11184,300,0.00196024
-5.11184,400,0.00272022
-5.11184,500,0.0035523
-5.11184,600,0.00437335
-5.09891,300,0.00157042
-5.09891,400,0.00225581
-5.09891,500,0.00307771
-5.09891,600,0.00397098
-5.086,300,0.001047
-5.086,400,0.00162848
-5.086,500,0.00245107
-5.086,600,0.00342946
-5.07308,300,0.000496203
-5.07308,400,0.000952008
-5.07308,500,0.00175254
-5.07308,600,0.00279663
-5.06015,300,9.93005e-05
-5.06015,400,0.000396124
-5.06015,500,0.00109964
-5.06015,600,0.00214633
-5.04722,300,7.25642e-06
-5.04722,400,8.46626e-05
-5.04722,500,0.000596807
-5.04722,600,0.00155748
-5.03431,300,0.000162734
-5.03431,400,4.2835e-07
-5.03431,500,0.000283085
-5.03431,600,0.00108715
-5.02139,300,0.000320906
-5.02139,400,2.02733e-05
-5.02139,500,0.000126175
-5.02139,600,0.000754636
-5.00846,300,0.000324642
-5.00846,400,3.75739e-05
-5.00846,500,6.42042e-05
-5.00846,600,0.00054627
-4.99555,300,0.000208045
-4.99555,400,2.40648e-05
-4.99555,500,4.92533e-05
-4.99555,600,0.000433341
-4.98262,300,7.51929e-05
-4.98262,400,3.23761e-06
-4.98262,500,6.07395e-05
-4.98262,600,0.000388354
-4.9697,300,4.8445e-06
-4.9697,400,5.19051e-06
-4.9697,500,9.58889e-05
-4.9697,600,0.000391949
-4.95677,300,1.32293e-05
-4.95677,400,4.38423e-05
-4.95677,500,0.000156709
-4.95677,600,0.000432214
-4.94386,300,6.50384e-05
-4.94386,400,0.000116534
-4.94386,500,0.000243087
-4.94386,600,0.000501407
-4.93094,300,0.000127535
-4.93094,400,0.000214433
-4.93094,500,0.000351739
-4.93094,600,0.000593223
-4.91801,300,0.00020131
-4.91801,400,0.000331298
-4.91801,500,0.000477398
-4.91801,600,0.000701365
-4.9051,300,0.000304182
-4.9051,400,0.000463995
-4.9051,500,0.000613656
-4.9051,600,0.000819057
-4.89217,300,0.000443148
