mu_eV,PF_W_per_mK2
-5.5124,9.99178e-05
-5.49948,5.9161e-05
-5.48656,2.59591e-05
-5.47364,4.93503e-06
-5.46071,7.95014e-07
-5.44779,1.7457e-05
-5.43488,5.70465e-05
-5.42195,0.000119547
-5.40903,0.000203423
-5.3961,0.000306772
-5.38319,0.000428237
-5.37026,0.000567202
-5.35734,0.000723353
-5.34443,0.000896072
-5.3315,0.00108405
-5.31858,0.00128528
-5.30566,0.00149729
-5.29274,0.0017173
-5.27981,0.00194231
-5.26689,0.00216919
-5.25398,0.00239516
-5.24105,0.00261858
-5.22813,0.00283955
-5.21521,0.00305937
-5.20229,0.00327859
-5.18936,0.00349379
-5.17644,0.00369454
-5.16353,0.00386156
-5.1506,0.00396658
-5.13767,0.00397447
-5.12476,0.00384711
-5.11184,0.0035523
-5.09891,0.00307771
-5.086,0.00245107
-5.07308,0.00175254
-5.06015,0.00109964
-5.04722,0.000596807
-5.03431,0.000283085
-5.02139,0.000126175
-5.00846,6.42042e-05
-4.99555,4.92533e-05
-4.98262,6.07395e-05
-4.9697,9.58889e-05
-4.95677,0.000156709
-4.94386,0.000243087
-4.93094,0.000351739
-4.91801,0.000477398
-4.9051,0.000613656
-4.89217,0.000752831
-4.87925,0.000885745
-4.86632,0.00100237
-4.85341,0.00109342
-4.84049,0.0011521
-4.82756,0.00117525
-4.81465,0.00116366
-4.80172,0.00112134
-4.7888,0.00105453
-4.77589,0.000970381
-4.76296,0.000875992
-4.75003,0.000777581
-4.73711,0.000680156
-4.7242,0.000587362
-4.71127,0.000501594
-4.69835,0.000424191
-4.68544,0.000355677
-4.67251,0.000295993
-4.65958,0.00024469
-4.64666,0.000201082
-4.63375,0.000164375
-4.62082,0.000133728
-4.6079,0.000108327
-4.59498,8.74095e-05
-4.58206,7.02772e-05
-4.56913,5.63194e-05
-4.55622,4.49972e-05
-4.5433,3.58504e-05
-4.53037,2.84895e-05
-4.51745,2.2586e-05
-4.50453,1.78649e-05
-4.49161,1.41011e-05
-4.47868,1.11072e-05
-4.46577,8.733e-06
-4.45285,6.85348e-06
-4.43992,5.36935e-06
-4.42699,4.20099e-06
-4.41408,3.28218e-06
-4.40116,2.5603e-06
-4.38823,1.99272e-06
-4.37532,1.54867e-06
-4.36239,1.20184e-06
-4.34947,9.3092e-07
-4.33656,7.21321e-07
-4.32363,5.57784e-07
-4.31071,4.30431e-07
-4.29778,3.32153e-07
-4.28487,2.54449e-07
-4.27194,1.93815e-07
-4.25902,1.48924e-07
-4.24611,1.12303e-07
-4.23318,8.48438e-08
-4.22026,6.43399e-08
-4.20733,4.83843e-08
-4.19442,3.68888e-08
-4.18149,2.6676e-08
-4.16857,1.71422e-08
-4.15566,1.26563e-08
-4.14273,9.62808e-09
-4.12981,6.9838e-09
-4.11689,4.3023e-09
-4.10397,2.27575e-09
-4.09104,8.12024e-10
-4.07812,5.20931e-10
-4.06521,2.88959e-10
-4.05228,9.34898e-11
-4.03935,0
-4.02644,0
-4.01352,0
-4.00059,0
-3.98767,0
-3.97476,0
-3.96183,0
-3.9489,0
-3.93599,0
-3.92307,0
-3.91014,0
-3.89723,0
-3.8843,0
-3.87138,0
-3.85845,0
-3.84554,0
-3.83262,0
-3.81969,0
-3.80678,0
-3.79385,0
-3.78093,0
-3.768,0
-3.75509,0
-3.74217,0
-3.72924,0
-3.71633,0
-3.7034,0
-3.69048,0
-3.67757,0
-3.66464,0
-3.65171,0
-3.63879,0
-3.62588,0
-3.61295,0
-3.60003,0
-3.58712,0
-3.57419,0
-3.56126,0
-3.54834,0
-3.53543,0
-3.5225,0
-3.50958,0
-3.49666,0
-3.48374,0
-3.47081,0
-3.45789,0
-3.44498,0
-3.43205,0
-3.41913,0
-3.40621,0
-3.39329,0
-3.38036,0
-3.36745,0
-3.35453,0
-3.3416,0
-3.32867,0
-3.31576,0
-3.30284,0
-3.28991,0
-3.277,0
-3.26407,0
-3.25115,0
-3.23822,0
-3.22531,0
-3.21239,0
-3.19946,0
-3.18655,0
-3.17362,0
-3.1607,0
-3.14779,0
-3.13486,0
-3.12194,0
-3.10901,0
-3.0961,0
-3.08317,0
-3.07025,0
-3.05734,0
-3.04441,0
-3.03149,0
-3.01856,0
-3.00565,0
-2.99272,0
-2.9798,0
-2.96689,0
-2.95396,0
-2.94103,0
-2.92812,0
-2.9152,0
-2.90227,0
-2.88935,0
-2.87644,0
-2.86351,0
-2.85058,0
-2.83767,0
-2.82475,0
-2.81182,0
-2.7989,0
-2.78598,0
-2.77306,0
-2.76013,0
-2.74722,0
-2.7343,0
-2.72137,0
-2.70846,0
-2.69553,0
-2.68261,0
-2.66968,0
-2.65677,0
-2.64385,0
-2.63092,0
-2.61801,0
-2.60508,0
-2.59216,0
-2.57923,0
-2.56632,0
-2.55339,0
-2.54047,0
-2.52756,0
-2.51463,0
-2.50171,0
-2.4888,0
-2.47587,0
-2.46294,0
-2.45002,0
-2.43711,0
-2.42418,0
-2.41126,0
-2.39834,0
-2.38542,0
-2.37249,0
-2.35957,0
-2.34666,0
-2.33373,0
-2.32081,0
-2.30789,0
-2.29497,0
-2.28204,0
-2.26913,0
-2.25621,0
-2.24328,0
-2.23035,0
-2.21744,0
-2.20452,0
-2.19159,0
-2.17868,0
-2.16576,0
-2.15283,0
-2.1399,0
-2.12699,0
-2.11407,0
-2.10114,0
-2.08823,0
-2.0753,0
-2.06238,0
-2.04945,0
-2.03654,0
-2.02362,0
-2.01069,0
-1.99778,0
-1.98485,0
-1.97193,0
-1.95902,0
-1.94609,0
-1.93317,0
-1.92024,0
-1.90733,0
-1.8944,0
-1.88148,0
-1.86857,0
-1.85564,0
-1.84271,0
