# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.001000000  395.357417566  358.747898661  658.118410075
    0.051081803  283.125955017  269.654971628  470.253928852
    0.101163606  193.319376386  194.483942077  318.638172173
    0.151245409  145.236666736  151.354369062  236.985006825
    0.201327212  115.615294530  123.365199860  186.536717344
    0.251409015   95.586733733  103.727153227  152.316766559
    0.301490818   81.202014449   89.233171084  127.662520521
    0.351572621   70.412321183   78.130518247  109.133189536
    0.401654424   62.043710404   69.372683665   94.759655701
    0.451736227   55.376105624   62.296979939   83.330072689
    0.501818030   49.944906658   56.465055071   74.057248085
    0.551899833   45.438132165   51.576628925   66.407919214
    0.601981636   41.639278415   47.419871485   60.008420742
    0.652063439   38.393854101   43.841511301   54.589488679
    0.702145242   35.588933433   40.728151372   49.952448789
    0.752227045   33.140215502   37.994222475   45.947708008
    0.802308848   30.983584306   35.574004691   42.460629747
    0.852390651   29.069458269   33.416216531   39.402000774
    0.902472454   27.358918993   31.480266660   36.701441446
    0.952554257   25.821003835   29.733607037   34.302753396
    1.002636060   24.430777027   28.149830909   32.160572793
    1.052717863   23.167932235   26.707283981   30.237921962
    1.102799666   22.015764519   25.388035307   28.504390910
    1.152881469   20.960403396   24.177104292   26.934768107
    1.202963272   19.990233267   23.061872746   25.507996673
    1.253045075   19.095450212   22.031632449   24.206369586
    1.303126878   18.267719297   21.077233220   23.014902760
    1.353208681   17.499906888   20.190806382   21.920842033
    1.403290484   16.785869554   19.365545442   20.913272067
    1.453372287   16.120286112   18.595530604   19.982803606
    1.503454090   15.498522872   17.875587223   19.121321507
    1.553535893   14.916524690   17.201170732   18.321780339
    1.603617696   14.370726232   16.568272450   17.578037480
    1.653699499   13.857979197   15.973341934   16.884716031
    1.703781302   13.375492253   15.413222585   16.237091552
    1.753863105   12.920781152   14.885097914   15.630998009
    1.803944908   12.491627067   14.386446462   15.062749260
    1.854026711   12.086041596   13.915003772   14.529073213
    1.904108514   11.702237227   13.468730158   14.027056357
    1.954190317   11.338602279   13.045783250   13.554096829
    2.004272120   10.993679548   12.644494513   13.107864557
    2.054353923   10.666148024   12.263349068   12.686267260
    2.104435726   10.354807183   11.900968294   12.287421356
    2.154517529   10.058563422   11.556094762   11.909626969
    2.204599332    9.776418314   11.227579140   11.551346398
    2.254681135    9.507458393   10.914368784   11.211185492
    2.304762938    9.250846247   10.615497745   10.887877506
    2.354844741    9.005812716   10.330078016   10.580269053
    2.404926544    8.771650044   10.057291811   10.287307856
    2.455008347    8.547705854    9.796384766   10.008032029
    2.505090150    8.333377814    9.546659908    9.741560678
    2.555171953    8.128108929    9.307472315    9.487085643
    2.605253756    7.931383345    9.078224357    9.243864208
    2.655335559    7.742722627    8.858361458    9.011212676
    2.705417362    7.561682433    8.647368305    8.788500662
    2.755499165    7.387849533    8.444765456    8.575146044
    2.805580968    7.220839151    8.250106292    8.370610466
    2.855662771    7.060292564    8.062974276    8.174395327
    2.905744574    6.905874949    7.882980486    7.986038208
    2.955826377    6.757273438    7.709761385    7.805109664
    3.005908180    6.614195365    7.542976805    7.631210363
    3.055989983    6.476366670    7.382308119    7.463968501
    3.106071786    6.343530465    7.227456585    7.303037489
    3.156153589    6.215445720    7.078141835    7.148093862
    3.206235392    6.091886073    6.934100510    6.998835393
    3.256317195    5.972638747    6.795085001    6.854979386
    3.306398998    5.857503557    6.660862313    6.716261138
    3.356480801    5.746292008    6.531213015    6.582432532
    3.406562604    5.638826464    6.405930287    6.453260770
    3.456644407    5.534939395    6.284819044    6.328527212
    3.506726210    5.434472674    6.167695126    6.208026325
    3.556808013    5.337276941    6.054384563    6.091564722
    3.606889816    5.243211017    5.944722890    5.978960279
    3.656971619    5.152141357    5.838554523    5.870041339
    3.707053422    5.063941555    5.735732178    5.764645969
    3.757135225    4.978491883    5.636116337    5.662621292
    3.807217028    4.895678862    5.539574757    5.563822866
    3.857298831    4.815394870    5.445982009    5.468114110
    3.907380634    4.737537780    5.355219054    5.375365789
    3.957462437    4.662010615    5.267172857    5.285455524
    4.007544240    4.588721242    5.181736017    5.198267351
    4.057626043    4.517582078    5.098806430    5.113691311
    4.107707846    4.448509816    5.018286977    5.031623067
    4.157789649    4.381425179    4.940085228    4.951963556
    4.207871452    4.316252683    4.864113173    4.874618662
    4.257953255    4.252920417    4.790286966    4.799498915
    4.308035058    4.191359844    4.718526689    4.726519211
    4.358116861    4.131505605    4.648756130    4.655598554
    4.408198664    4.073295347    4.580902579    4.586659812
    4.458280467    4.016669554    4.514896632    4.519629495
    4.508362270    3.961571394    4.450672013    4.454437542
    4.558444073    3.907946571    4.388165403    4.391017131
    4.608525876    3.855743191    4.327316283    4.329304493
    4.658607679    3.804911635    4.268066785    4.269238745
    4.708689482    3.755404438    4.210361553    4.210761729
    4.758771285    3.707176177    4.154147612    4.153817866
    4.808853088    3.660183367    4.099374246    4.098354016
    4.858934891    3.614384360    4.045992882    4.044319348
    4.909016694    3.569739253    3.993956981    3.991665219
    4.959098497    3.526209800    3.943221937    3.940345061
    5.009180301    3.483759332    3.893744982    3.890314269
    5.059262104    3.442352674    3.845485090    3.841530107
    5.109343907    3.401956076    3.798402900    3.793951610
    5.159425710    3.362537144    3.752460630    3.747539494
    5.209507513    3.324064773    3.707622000    3.702256075
    5.259589316    3.286509087    3.663852166    3.658065190
    5.309671119    3.249841378    3.621117646    3.614932121
    5.359752922    3.214034057    3.579386262    3.572823527
    5.409834725    3.179060595    3.538627074    3.531707378
    5.459916528    3.144895481    3.498810328    3.491552892
    5.509998331    3.111514169    3.459907396    3.452330475
