# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000 1566.804865958 1098.275171446 1129.306691417
    0.051081803  294.375450447  224.751875071  487.931015011
    0.101163606  206.532945801  179.189537146  370.629162746
    0.151245409  189.329964529  188.342675941  318.435419839
    0.201327212  181.093588475  195.630685731  266.506248731
    0.251409015  139.797628799  157.091279414  237.276621151
    0.301490818   98.187652824  113.162169821  204.229774729
    0.351572621   75.103105195   88.037617611  160.956941128
    0.401654424   65.402283097   75.249040897  128.919170851
    0.451736227   57.499302783   66.196959521  101.693982729
    0.501818030   48.201460532   56.678002366   87.640843660
    0.551899833   41.679013576   50.690957311   84.112865578
    0.601981636   40.202806229   49.672842743   84.693126575
    0.652063439   38.972225342   48.660156694   82.802357915
    0.702145242   37.491312455   47.617125766   71.476107928
    0.752227045   35.518125418   45.958755090   57.315725623
    0.802308848   33.871666070   43.710853992   45.749208103
    0.852390651   32.944306552   42.951390186   38.591236972
    0.902472454   33.853207666   43.989590563   34.089353770
    0.952554257   33.523274643   43.252838291   28.656859092
    1.002636060   30.760477212   39.898142084   23.038995693
    1.052717863   29.614767293   37.370396441   19.909085169
    1.102799666   29.839085446   36.011964978   18.327456746
    1.152881469   29.417604610   34.544074818   17.959466257
    1.202963272   27.274999690   31.794364006   18.424285247
    1.253045075   25.500371454   29.662800746   20.102935845
    1.303126878   24.409214453   28.664182885   21.172349085
    1.353208681   23.116903840   27.115925097   19.793104570
    1.403290484   22.146479478   25.965597565   18.568180731
    1.453372287   21.676852860   25.244760064   17.867543506
    1.503454090   21.907093204   25.227013752   17.146257124
    1.553535893   23.038281334   26.360996426   16.165031976
    1.603617696   25.209687824   27.124546714   15.416603341
    1.653699499   26.642065492   27.136535545   14.506333608
    1.703781302   24.539488036   25.880541734   13.237471628
    1.753863105   21.067125957   23.364474773   12.502258980
    1.803944908   18.413522161   21.299304993   12.414537865
    1.854026711   16.867203846   19.465449507   12.405302196
    1.904108514   16.231576385   18.003212046   12.387707541
    1.954190317   15.989148015   17.692187520   12.811277077
    2.004272120   15.598625065   18.277814179   13.532022208
    2.054353923   14.974358511   18.547799019   14.543722497
    2.104435726   13.913401598   17.665854868   14.907267422
    2.154517529   12.631258979   16.086469279   14.384646376
    2.204599332   11.801473523   14.815849195   13.643561175
    2.254681135   12.080862914   14.689731559   12.498475589
    2.304762938   12.911643895   15.175553617   11.511787736
    2.354844741   12.944433357   14.956174856   11.092735271
    2.404926544   12.143253372   13.992729167   11.587603782
    2.455008347   11.285480714   13.307838497   11.636303204
    2.505090150   10.734956403   12.814630439   10.484623368
    2.555171953   10.161022243   11.958090955    9.529540947
    2.605253756    9.480435358   10.923214738    9.408651796
    2.655335559    8.786006486   10.073695177   10.231632278
    2.705417362    8.120987277    9.245118309   11.775886359
    2.755499165    7.695017875    9.029695931   12.148487888
    2.805580968    7.410885370    9.248093993   10.534320664
    2.855662771    7.045436085    9.288745553    9.199110426
    2.905744574    6.792891903    8.969028366    8.539796568
    2.955826377    6.642677305    8.450476880    8.558391809
    3.005908180    6.754099895    8.043473070    9.177842040
    3.055989983    6.975021679    7.859030779   10.296030194
    3.106071786    6.977744300    7.839896506   11.584384507
    3.156153589    6.777681123    7.782249178   13.047378855
    3.206235392    6.526730827    7.435109455   13.642536295
    3.256317195    6.187318451    7.073114520   13.891194678
    3.306398998    5.862201989    6.783327201   13.511377774
    3.356480801    5.604762819    6.558664328   12.131155747
    3.406562604    5.594146580    6.410389119   10.358204113
    3.456644407    5.818340682    6.348101166    8.996937849
    3.506726210    5.807653918    6.055846237    7.965582769
    3.556808013    4.896483207    5.132819414    6.894791211
    3.606889816    3.947561441    4.187064484    5.952126831
    3.656971619    3.275335707    3.394640760    5.359073072
    3.707053422    2.683442039    2.705011419    5.206687346
    3.757135225    2.275685412    2.249844130    5.324476995
    3.807217028    2.036541147    1.975915331    4.933633257
    3.857298831    1.884543731    1.786407170    4.319993014
    3.907380634    1.764071493    1.651622770    3.803299576
    3.957462437    1.653032794    1.582346000    3.295193744
    4.007544240    1.598359017    1.597252366    2.860647041
    4.057626043    1.565986236    1.683114975    2.537892927
    4.107707846    1.523845197    1.783900993    2.276582199
    4.157789649    1.551269978    1.826316909    2.094149821
    4.207871452    1.512671525    1.691786952    1.967155233
    4.257953255    1.441663288    1.552268866    1.835978128
    4.308035058    1.467853093    1.555729875    1.684210305
    4.358116861    1.665592444    1.747203150    1.491936919
    4.408198664    1.962152366    2.051784524    1.225912216
    4.458280467    1.999009888    2.101444018    1.067260216
    4.508362270    1.946090916    2.058957560    1.024960019
    4.558444073    1.880828823    2.011435839    1.049301964
    4.608525876    1.820316800    2.019460382    1.183266471
    4.658607679    1.828043639    2.133270398    1.382894580
    4.708689482    1.858631819    2.266287781    1.581013518
    4.758771285    1.939891737    2.416400561    1.626739254
    4.808853088    2.118838042    2.639324039    1.556929468
    4.858934891    2.164297817    2.747516641    1.517386108
    4.909016694    2.152802396    2.856812493    1.504409871
    4.959098497    2.207019787    3.068707614    1.440377233
    5.009180301    2.310204506    3.441926514    1.335829811
    5.059262104    2.503205947    3.886172016    1.170190344
    5.109343907    2.565779686    3.870727745    0.980493131
    5.159425710    2.417736509    3.520968206    0.892107760
    5.209507513    2.267454568    3.208740981    0.871016418
    5.259589316    2.270495125    3.006645945    0.862035966
    5.309671119    2.383690545    2.743040811    0.839502163
    5.359752922    2.282567482    2.261613933    0.824318269
    5.409834725    2.066132152    1.891667808    0.830388718
    5.459916528    1.834160506    1.663105985    0.841182399
    5.509998331    1.526857996    1.465217346    0.884768030
    5.560080134    1.305607667    1.344992430    0.963141703
    5.610161937    1.158961461    1.207665189    1.009585960
    5.660243740    1.070139250    1.064016807    0.925714677
    5.710325543    1.012766666    0.990861973    0.828541941
    5.760407346    0.937086302    0.952401012    0.722576452
    5.810489149    0.875816754    0.940097198    0.636940938
    5.860570952    0.821563807    0.922532226    0.595919021
    5.910652755    0.758348993    0.889708207    0.583885035
    5.960734558    0.683606808    0.817656794    0.586320527
    6.010816361    0.598360928    0.738788973    0.575246794
    6.060898164    0.532430550    0.703171247    0.538803867
    6.110979967    0.490611285    0.683096164    0.493192913
    6.161061770    0.458518719    0.645882192    0.465717072
    6.211143573    0.414011596    0.545333515    0.450180339
    6.261225376    0.376390871    0.457633629    0.409120308
    6.311307179    0.346199618    0.407376335    0.336560416
    6.361388982    0.330525986    0.375336320    0.290050633
    6.411470785    0.330195498    0.358103687    0.281773870
    6.461552588    0.338804528    0.356597826    0.296638445
    6.511634391    0.334507139    0.352515002    0.283642526
    6.561716194    0.317885827    0.337751070    0.248843051
    6.611797997    0.305282238    0.317580084    0.220248197
    6.661879800    0.303656793    0.303184706    0.212912726
    6.711961603    0.307457748    0.294190248    0.220585605
    6.762043406    0.307948735    0.287202803    0.233585513
    6.812125209    0.296637536    0.285887243    0.237704795
    6.862207012    0.261861442    0.273097104    0.212788707
    6.912288815    0.229385234    0.243293886    0.183271269
    6.962370618    0.196361286    0.209468057    0.158083521
    7.012452421    0.171172407    0.191990675    0.140955166
    7.062534224    0.150656781    0.187355534    0.133807549
    7.112616027    0.133363226    0.181040071    0.129919052
    7.162697830    0.117842915    0.162636349    0.118460986
    7.212779633    0.105646323    0.141875483    0.099722711
    7.262861436    0.098638939    0.129305912    0.084379613
    7.312943239    0.093752988    0.121437949    0.072748915
    7.363025042    0.087571206    0.112353543    0.064346267
    7.413106845    0.077605019    0.099071517    0.058625476
    7.463188648    0.070091896    0.088117769    0.054626838
    7.513270451    0.066592398    0.081424517    0.051581010
    7.563352254    0.066144892    0.076879960    0.049095538
    7.613434057    0.064850526    0.071331910    0.046991160
    7.663515860    0.057385316    0.063146638    0.045158272
    7.713597663    0.049781311    0.056153891    0.043524563
    7.763679466    0.045121950    0.051683348    0.042043686
    7.813761269    0.042127396    0.048605040    0.040684816
    7.863843072    0.039933867    0.046236908    0.039426438
    7.913924875    0.038171348    0.044276796    0.038252848
    7.964006678    0.036671921    0.042580085    0.037152168
