mu_eV,PF_W_per_mK2
-5.67203,8.69836e-05
-5.65911,3.68171e-05
-5.6462,7.0733e-06
-5.63328,2.29089e-07
-5.62036,9.80737e-06
-5.60744,2.87617e-05
-5.59452,5.5482e-05
-5.5816,9.41959e-05
-5.56868,0.000151163
-5.55576,0.000228672
-5.54284,0.000323384
-5.52992,0.000436686
-5.517,0.00058386
-5.50409,0.000783245
-5.49117,0.00103563
-5.47825,0.00131536
-5.46533,0.00157731
-5.45241,0.00177264
-5.43949,0.0018775
-5.42656,0.00192576
-5.41365,0.00200023
-5.40073,0.00217669
-5.38782,0.00247563
-5.37489,0.00284237
-5.36198,0.00314613
-5.34905,0.00320691
-5.33614,0.0028559
-5.32322,0.00204461
-5.3103,0.00101745
-5.29738,0.000272625
-5.28447,2.03048e-05
-5.27154,5.79994e-07
-5.25863,8.05979e-08
-5.2457,8.6234e-06
-5.23278,4.4474e-05
-5.21987,0.000104927
-5.20694,0.000190656
-5.19403,0.000304723
-5.1811,0.000441419
-5.16819,0.000583582
-5.15527,0.000707402
-5.14236,0.000790854
-5.12943,0.000820212
-5.11652,0.000793174
-5.10359,0.000719378
-5.09068,0.000616696
-5.07776,0.000504216
-5.06483,0.000396673
-5.05192,0.000302572
-5.03899,0.00022516
-5.02608,0.000164239
-5.01316,0.000117861
-5.00024,8.34393e-05
-4.98732,5.83971e-05
-4.97441,4.04722e-05
-4.96148,2.78133e-05
-4.94857,1.89722e-05
-4.93564,1.28561e-05
-4.92273,8.66017e-06
-4.90981,5.8003e-06
-4.89689,3.86584e-06
-4.88397,2.56502e-06
-4.87104,1.69634e-06
-4.85813,1.11527e-06
-4.84521,7.3177e-07
-4.83229,4.79162e-07
-4.81937,3.09134e-07
-4.80646,2.00498e-07
-4.79353,1.24502e-07
-4.78062,8.03044e-08
-4.7677,5.10717e-08
-4.75478,3.26003e-08
-4.74186,2.01545e-08
-4.72895,9.8757e-09
-4.71602,4.47965e-09
-4.7031,2.71163e-09
-4.69018,1.29054e-09
-4.67726,5.45223e-10
-4.66435,0
-4.65142,0
-4.63851,0
-4.62558,0
-4.61267,0
-4.59975,0
-4.58683,0
-4.57391,0
-4.561,0
-4.54807,0
-4.53516,0
-4.52223,0
-4.50931,0
-4.4964,0
-4.48347,0
-4.47056,0
-4.45763,0
-4.44472,0
-4.4318,0
-4.41889,0
-4.40596,0
-4.39305,0
-4.38012,0
-4.36721,0
-4.35429,0
-4.34136,0
-4.32845,0
-4.31552,0
-4.30261,0
-4.28969,0
-4.27677,0
-4.26385,0
-4.25094,0
-4.23801,0
-4.2251,0
-4.21217,0
-4.19926,0
-4.18634,0
-4.17341,0
-4.1605,0
-4.14757,0
-4.13466,0
-4.12174,0
-4.10883,0
-4.0959,0
-4.08299,0
-4.07006,0
-4.05715,0
-4.04423,0
-4.03131,0
-4.01839,0
-4.00548,0
-3.99255,0
-3.97963,0
-3.96671,0
-3.95379,0
-3.94088,0
-3.92795,0
-3.91504,0
-3.90211,0
-3.8892,0
-3.87628,0
-3.86337,0
-3.85044,0
-3.83753,0
-3.8246,0
-3.81168,0
-3.79877,0
-3.78584,0
-3.77293,0
-3.76,0
-3.74709,0
-3.73417,0
-3.72125,0
-3.70833,0
-3.69542,0
-3.68249,0
-3.66958,0
-3.65665,0
-3.64374,0
-3.63082,0
-3.61789,0
-3.60498,0
-3.59205,0
-3.57914,0
-3.56622,0
-3.5533,0
-3.54038,0
-3.52747,0
-3.51454,0
-3.50163,0
-3.48871,0
-3.47579,0
-3.46287,0
-3.44994,0
-3.43703,0
-3.42411,0
